species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep4_d1	same	5	4	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.190	35.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep4_d3	same	5	4	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.530	75.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep4_d5	same	5	4	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.790	113.1
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep5_d0.5	same	5	5	0.5	1	1	1	0	0	1.0000	1.0000	1.0000	0.100	24.3
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep5_d10	same	5	5	10	1	1	1	0	0	1.0000	1.0000	1.0000	1.620	199.0
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep5_d1	same	5	5	1	1	1	1	0	0	1.0000	1.0000	1.0000	0.190	34.5
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep5_d3	same	5	5	3	1	1	1	0	0	1.0000	1.0000	1.0000	0.500	74.8
Akkermansia_muciniphila	Akkermansia_muciniphila__same_k5_rep5_d5	same	5	5	5	1	1	1	0	0	1.0000	1.0000	1.0000	0.810	113.7
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep1_d0.5	diff	2	1	0.5	2	0	0	0	2	0.0000	0.0000	0.0000	0.060	16.0
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep1_d10	diff	2	1	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.840	111.1
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep1_d1	diff	2	1	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.100	21.4
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep1_d3	diff	2	1	3	2	2	2	0	0	1.0000	1.0000	1.0000	0.270	42.8
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep1_d5	diff	2	1	5	2	2	2	0	0	1.0000	1.0000	1.0000	0.440	62.5
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep2_d0.5	diff	2	2	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.070	16.1
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep2_d10	diff	2	2	10	2	1	1	0	1	1.0000	0.5000	0.6667	0.820	112.5
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep2_d1	diff	2	2	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.100	21.3
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep2_d3	diff	2	2	3	2	1	1	0	1	1.0000	0.5000	0.6667	0.260	42.9
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep2_d5	diff	2	2	5	2	1	1	0	1	1.0000	0.5000	0.6667	0.460	63.1
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep3_d0.5	diff	2	3	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.070	16.0
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep3_d10	diff	2	3	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.860	112.0
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep3_d1	diff	2	3	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.110	21.2
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep3_d3	diff	2	3	3	2	2	2	0	0	1.0000	1.0000	1.0000	0.280	42.6
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep3_d5	diff	2	3	5	2	2	2	0	0	1.0000	1.0000	1.0000	0.440	62.2
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep4_d0.5	diff	2	4	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.060	16.0
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep4_d10	diff	2	4	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.830	111.8
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep4_d1	diff	2	4	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.120	21.3
Clostridioides_difficile	Clostridioides_difficile__diff_k2_rep4_d3	diff	2	4	3	2	2	2	0	0	1.0000	1.0000	1.0000	0.260	42.7
